Year	Domain	Name	Nationality	Gender
1999	Chemistry	 Ahmed Zewail 	Egypt, USA	Male
1999	Economics	 Robert A. Mundell 	Canada	Male
1999	Literature	 Gunter Grass 	Germany	Male
1999	Medicine	 Gunter Blobel 	USA	Male
1999	Peace	 Medecins Sans Frontieres 	Switzerland	Organization
1999	Physics	 Gerardus 't Hooft 	Netherlands	Male
1999	Physics	 Martinus J.G. Veltman 	Netherlands	Male
1998	Chemistry	 Walter Kohn 	USA	Male
1998	Chemistry	 John Pople 	UK	Male
1998	Economics	 Amartya Sen 	India	Male
1998	Literature	 Jose Saramago 	Portugal	Male
1998	Medicine	 Robert F. Furchgott 	USA	Male
1998	Medicine	 Louis J. Ignarro 	USA	Male
1998	Medicine	 Ferid Murad 	USA	Male
1998	Peace	 John Hume 	UK	Male
1998	Peace	 David Trimble 	UK	Male
1998	Physics	 Robert B. Laughlin 	USA	Male
1998	Physics	 Horst L. Stormer 	Germany	Male
1998	Physics	 Daniel C. Tsui 	USA	Male
1997	Chemistry	 Paul D. Boyer 	USA	Male
1997	Chemistry	 Jens C. Skou 	Denmark	Male
1997	Chemistry	 John E. Walker 	UK	Male
1997	Economics	 Robert C. Merton 	USA	Male
1997	Economics	 Myron S. Scholes 	USA	Male
1997	Literature	 Dario Fo 	Italy	Male
1997	Medicine	 Stanley B. Prusiner 	USA	Male
1997	Peace	 International Campaign to Ban Landmines 	USA	Organization
1997	Peace	 Jody Williams 	USA	Female
1997	Physics	 Steven Chu 	USA	Male
1997	Physics	 Claude Cohen-Tannoudji 	France	Male
1997	Physics	 William D. Phillips 	USA	Male
1996	Chemistry	 Robert F. Curl Jr. 	USA	Male
1996	Chemistry	 Sir Harold Kroto 	UK	Male
1996	Chemistry	 Richard E. Smalley 	USA	Male
1996	Economics	 James A. Mirrlees 	UK	Male
1996	Economics	 William Vickrey 	USA	Male
1996	Literature	 Wislawa Szymborska 	Poland	Female
1996	Medicine	 Peter C. Doherty 	Australia	Male
1996	Medicine	 Rolf M. Zinkernagel 	Switzerland	Male
1996	Peace	 Carlos Filipe Ximenes Belo 	East Timor	Male
1996	Peace	 Jose Ramos-Horta 	East Timor	Male
1996	Physics	 David M. Lee 	USA	Male
1996	Physics	 Douglas D. Osheroff 	USA	Male
1996	Physics	 Robert C. Richardson 	USA	Male
1995	Chemistry	 Paul J. Crutzen 	Netherlands	Male
1995	Chemistry	 Mario J. Molina 	USA	Male
1995	Chemistry	 F. Sherwood Rowland 	USA	Male
1995	Economics	 Robert E. Lucas Jr. 	USA	Male
1995	Literature	 Seamus Heaney 	Ireland	Male
1995	Medicine	 Edward B. Lewis 	USA	Male
1995	Medicine	 Christiane Nusslein-Volhard 	Germany	Female
1995	Medicine	 Eric F. Wieschaus 	USA	Male
1995	Peace	 Pugwash Conferences on Science and World Affairs 	Canada	Organization
1995	Peace	 Joseph Rotblat 	UK	Male
1995	Physics	 Martin L. Perl 	USA	Male
1995	Physics	 Frederick Reines 	USA	Male
1994	Chemistry	 George A. Olah 	USA	Male
1994	Economics	 John C. Harsanyi 	USA	Male
1994	Economics	 John F. Nash Jr. 	USA	Male
1994	Economics	 Reinhard Selten 	Germany	Male
1994	Literature	 Kenzaburo Oe 	Japan	Male
1994	Medicine	 Alfred G. Gilman 	USA	Male
1994	Medicine	 Martin Rodbell 	USA	Male
1994	Peace	 Yasser Arafat 	Palestine	Male
1994	Peace	 Shimon Peres 	Israel	Male
1994	Peace	 Yitzhak Rabin 	Israel	Male
1994	Physics	 Bertram N. Brockhouse 	Canada	Male
1994	Physics	 Clifford G. Shull 	USA	Male
1993	Chemistry	 Kary B. Mullis 	USA	Male
1993	Chemistry	 Michael Smith 	Canada	Male
1993	Economics	 Robert W. Fogel 	USA	Male
1993	Economics	 Douglass C. North 	USA	Male
1993	Literature	 Toni Morrison 	USA	Female
1993	Medicine	 Richard J. Roberts 	UK	Male
1993	Medicine	 Phillip A. Sharp 	USA	Male
1993	Peace	 F.W. de Klerk 	South Africa	Male
1993	Peace	 Nelson Mandela 	South Africa	Male
1993	Physics	 Russell A. Hulse 	USA	Male
1993	Physics	 Joseph H. Taylor Jr. 	USA	Male
1992	Chemistry	 Rudolph A. Marcus 	USA	Male
1992	Economics	 Gary S. Becker 	USA	Male
1992	Literature	 Derek Walcott 	Saint Lucia	Male
1992	Medicine	 Edmond H. Fischer 	Switzerland, USA	Male
1992	Medicine	 Edwin G. Krebs 	USA	Male
1992	Peace	 Rigoberta Menchu Tum 	Guatemala	Female
1992	Physics	 Georges Charpak 	France	Male
1991	Chemistry	 Richard R. Ernst 	Switzerland	Male
1991	Economics	 Ronald H. Coase 	UK	Male
1991	Literature	 Nadine Gordimer 	South Africa	Female
1991	Medicine	 Erwin Neher 	Germany	Male
1991	Medicine	 Bert Sakmann 	Germany	Male
1991	Peace	 Aung San Suu Kyi 	Burma	Female
1991	Physics	 Pierre-Gilles de Gennes 	France	Male
1990	Chemistry	 Elias James Corey 	USA	Male
1990	Economics	 Harry M. Markowitz 	USA	Male
1990	Economics	 Merton H. Miller 	USA	Male
1990	Economics	 William F. Sharpe 	USA	Male
1990	Literature	 Octavio Paz 	Mexico	Male
1990	Medicine	 Joseph E. Murray 	USA	Male
1990	Medicine	 E. Donnall Thomas 	USA	Male
1990	Peace	 Mikhail Gorbachev 	USSR	Male
1990	Physics	 Jerome I. Friedman 	USA	Male
1990	Physics	 Henry W. Kendall 	USA	Male
1990	Physics	 Richard E. Taylor 	Canada	Male
1989	Chemistry	 Sidney Altman 	Canada, USA	Male
1989	Chemistry	 Thomas R. Cech 	USA	Male
1989	Economics	 Trygve Haavelmo 	Norway	Male
1989	Literature	 Camilo Jose Cela 	Spain	Male
1989	Medicine	 J. Michael Bishop 	USA	Male
1989	Medicine	 Harold E. Varmus 	USA	Male
1989	Peace	 The 14th Dalai Lama 	Tibet	Male
1989	Physics	 Hans G. Dehmelt 	USA	Male
1989	Physics	 Wolfgang Paul 	Germany	Male
1989	Physics	 Norman F. Ramsey 	USA	Male
1988	Chemistry	 Johann Deisenhofer 	Germany	Male
1988	Chemistry	 Robert Huber 	Germany	Male
1988	Chemistry	 Hartmut Michel 	Germany	Male
1988	Economics	 Maurice Allais 	France	Male
1988	Literature	 Naguib Mahfouz 	Egypt	Male
1988	Medicine	 Sir James W. Black 	UK	Male
1988	Medicine	 Gertrude B. Elion 	USA	Female
1988	Medicine	 George H. Hitchings 	USA	Male
1988	Peace	 United Nations Peacekeeping Forces 	USA	Organization
1988	Physics	 Leon M. Lederman 	USA	Male
1988	Physics	 Melvin Schwartz 	USA	Male
1988	Physics	 Jack Steinberger 	USA	Male
1987	Chemistry	 Donald J. Cram 	USA	Male
1987	Chemistry	 Jean-Marie Lehn 	France	Male
1987	Chemistry	 Charles J. Pedersen 	USA	Male
1987	Economics	 Robert M. Solow 	USA	Male
1987	Literature	 Joseph Brodsky 	USA	Male
1987	Medicine	 Susumu Tonegawa 	Japan	Male
1987	Peace	 Oscar Arias Sanchez 	Costa Rica	Male
1987	Physics	 J. Georg Bednorz 	Germany	Male
1987	Physics	 K. Alex Muller 	Switzerland	Male
